time,hr
1.3749109455958548,91.2503986110619
2.0272124453529794,90.54991634543957
2.7029499271373054,88.08014531379563
3.4216533759715024,84.51140976901218
4.159886809828368,80.90588176220487
4.9293682197215025,75.93693766282598
5.804311548737046,71.01149273738105
6.706596856784326,68.50788355375511
7.558104203772668,70.26612531199686
8.370551580715674,72.3670259910966
9.19471694867228,73.61508697589471
10.003258328610752,75.39145493782969
10.761021747490284,78.80172776990348
11.483631193329016,81.893515209517
12.202334642163212,83.17743830787309
12.924944088001942,83.02864435262751
13.651459530845207,83.64700184055022
14.354538991661268,84.89787983719093
15.045900461463729,85.81544256120526
15.748979922279792,83.89949552608725
16.50283734415479,79.35389423472324
17.323096715106864,74.28844522406875
18.17851005909974,73.10648246820767
18.967521454015543,75.25402749658171
19.721378875890544,78.13144231920202
20.48304829177461,79.04131792214693
21.244717707658676,78.37140637140637
22.018105114556345,79.7906717906718
22.740714560395077,82.13761348956879
23.439888024206606,85.20558130329931
24.131249494009065,85.97435007206809
24.83432895482513,85.34914019326355
25.549126406654793,84.4007285974499
26.263923858484453,84.08815228487359
26.974815313309584,83.9360971648926
27.693518762143782,82.48645249771629
28.447376184018783,80.3444320815842
29.216857593911914,79.18501179172912
29.96680901878238,80.1833961028328
30.693324461625647,82.3254165189649
31.404215916450777,83.9460426699778
32.111201374271374,84.39730302605042
32.825998826101035,85.19198856649867
33.517360295903494,86.16183860596196
34.20090977169689,87.77907225200259
34.87664725348122,88.10966143682906
35.56019672927461,87.61656352350643
36.255464196081604,86.62453975627034
36.95463765989313,85.97074885443475
37.65381112370466,84.29665100056161
38.392044557561526,81.9497093016646
39.15371397344559,80.58039989954884
39.88804141029792,81.62232094146988
40.598932865123054,83.49777881692775
41.309824319948184,84.7081807081807
42.01290378076425,85.3403575201328
42.708171247571244,87.15000985610092
43.3760967353465,89.18175588784695
44.03230423210816,90.8939014202172
44.68851172886982,90.5477566749243
45.364249210654144,88.9981198710502
46.0556106804566,87.125281350167
46.754784144268136,86.29395057144387
47.450051611075125,85.81184134357193
48.15313107189119,84.58816853264969
48.88355251173899,82.7714920098821
49.62569194260038,82.00272324111333
50.34830138843912,83.38708904054853
51.043568855246114,85.86500797581775
51.72321233403497,87.6146196564639
52.40285581282383,88.44595043518703
53.07859329460816,89.13831013768872
53.74261278537888,90.18921325755736
54.39882028214054,90.53535800285026
55.0667457699158,89.84299830034857
55.74638924870466,88.13085276797833
56.441656715511655,86.47662511782161
57.14864217333225,85.02947983800252
57.86343962516192,83.64511403856731
58.59386106500971,82.44776831083485
59.332094498866574,81.5595733242792
